Rapper,ID,Word Count,ImageURL,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Region
Rakim (including Eric B. & Rakim),rakim,4621,https://pudding.cool/2017/02/vocabulary/css/rakim.png,,,,,,East Coast
DMX,dmx,3214,https://pudding.cool/2017/02/vocabulary/css/dmx.png,,,,,,East Coast
Too Short,too-short,3391,https://pudding.cool/2017/02/vocabulary/css/too-short.png,,,,,,West Coast
Drake,drake,3522,https://pudding.cool/2017/02/vocabulary/css/drake.png,,,,,,Southern
50 Cent,50-cent,3591,https://pudding.cool/2017/02/vocabulary/css/50-cent.png,,,,,,East Coast
Bone Thugs-n-Harmony,bone-thugs,3547,https://pudding.cool/2017/02/vocabulary/css/bone-thugs.png,,,,,,Midwest
Master P,master-p,3612,https://pudding.cool/2017/02/vocabulary/css/master-p.png,,,,,,Southern
Salt-n-Pepa,salt-n-pepa,3612,https://pudding.cool/2017/02/vocabulary/css/salt-n-pepa.png,,,,,,East Coast
Petey Pablo,petey-pablo,3617,https://pudding.cool/2017/02/vocabulary/css/petey-pablo.png,,,,,,Southern
Juvenile,juvenile,3630,https://pudding.cool/2017/02/vocabulary/css/juvenile.png,,,,,,Southern
Young Jeezy,jeezy,3650,https://pudding.cool/2017/02/vocabulary/css/jeezy.png,,,,,,Southern
Wiz Khalifa,wiz-khalifa,3707,https://pudding.cool/2017/02/vocabulary/css/wiz-khalifa.png,,,,,,East Coast
Lil B,lil-b,3724,https://pudding.cool/2017/02/vocabulary/css/lil-b.png,,,,,,West Coast
Kanye West,kanye-west,3982,https://pudding.cool/2017/02/vocabulary/css/kanye-west.png,,,,,,Midwest
Lil Wayne,lil-wayne,3743,https://pudding.cool/2017/02/vocabulary/css/lil-wayne.png,,,,,,Southern
Missy Elliot,missy-elliot,3874,https://pudding.cool/2017/02/vocabulary/css/missy-elliot.png,,,,,,East Coast
Gucci Mane,gucci-mane,3885,https://pudding.cool/2017/02/vocabulary/css/gucci-mane.png,,,,,,Southern
2Pac,2pac,3970,https://pudding.cool/2017/02/vocabulary/css/2pac.png,,,,,,West Coast
Snoop Dogg,snoop,3974,https://pudding.cool/2017/02/vocabulary/css/snoop.png,,,,,,West Coast
UGK,ugk,4011,https://pudding.cool/2017/02/vocabulary/css/ugk.png,,,,,,Southern
Run-D.M.C.,run-dmc,4039,https://pudding.cool/2017/02/vocabulary/css/run-dmc.png,,,,,,East Coast
Jadakiss,jadakiss,4108,https://pudding.cool/2017/02/vocabulary/css/jadakiss.png,,,,,,East Coast
Scarface,scarface,4123,https://pudding.cool/2017/02/vocabulary/css/scarface.png,,,,,,Southern
Insane Clown Posse,insane-clown-posse,4146,https://pudding.cool/2017/02/vocabulary/css/insane-clown-posse.png,,,,,,Midwest
Nicki Minaj,nicki-minaj,4162,https://pudding.cool/2017/02/vocabulary/css/nicki-minaj.png,,,,,,East Coast
T.I.,t-i-,4151,https://pudding.cool/2017/02/vocabulary/css/t-i-.png,,,,,,Southern
Geto Boys,geto-boys,4180,https://pudding.cool/2017/02/vocabulary/css/geto-boys.png,,,,,,Southern
Three 6 Mafia,three-six-mafia,4225,https://pudding.cool/2017/02/vocabulary/css/three-six-mafia.png,,,,,,Southern
Biz Markie,biz-markie,4313,https://pudding.cool/2017/02/vocabulary/css/biz-markie.png,,,,,,East Coast
Ice Cube,ice-cube,4371,https://pudding.cool/2017/02/vocabulary/css/ice-cube.png,,,,,,West Coast
Cam'ron,camron,4406,https://pudding.cool/2017/02/vocabulary/css/camron.png,,,,,,Not Specified
Nelly,nelly,4413,https://pudding.cool/2017/02/vocabulary/css/nelly.png,,,,,,East Coast
Puff Daddy,puff-daddy,4429,https://pudding.cool/2017/02/vocabulary/css/puff-daddy.png,,,,,,Midwest
The Game,game,4416,https://pudding.cool/2017/02/vocabulary/css/game.png,,,,,,West Coast
Royce da 5'9,royce-da-5-9,4430,https://pudding.cool/2017/02/vocabulary/css/royce-da-5-9.png,,,,,,East Coast
Ice T,ice-t,4431,https://pudding.cool/2017/02/vocabulary/css/ice-t.png,,,,,,Midwest
Lupe Fiasco,lupe-fiasco,4439,https://pudding.cool/2017/02/vocabulary/css/lupe-fiasco.png,,,,,,Midwest
Eminem,eminem,4494,https://pudding.cool/2017/02/vocabulary/css/eminem.png,,,,,,Midwest
Jay-Z,jay-z,4506,https://pudding.cool/2017/02/vocabulary/css/jay-z.png,,,,,,East Coast
Clipse,clipse,4514,https://pudding.cool/2017/02/vocabulary/css/clipse.png,,,,,,Southern
Cypress Hill,cypress-hill,4568,https://pudding.cool/2017/02/vocabulary/css/cypress-hill.png,,,,,,West Coast
